Name,Birth,Death,Age,Movement
Albert Bierstadt,1830,1902,72,Landscape Painting
Albert Pinkham Ryder,1847,1917,70,Landscape Painting
Albrecht Durer,1471,1528,57,High Renaissance
Alessandro Botticelli,1445,1510,65,Early Renaissance
Alfred Sisley,1839,1899,60,Impressionism
Alfred Stevens,1817,1875,58,Figurative Painting
Allan Ramsay,1713,1784,71,Figurative Painting
Andrea Del Sarto,1486,1530,44,High Renaissance
Antoine-Jean Gros,1771,1835,64,Romanticism
Antoni Gaudi,1852,1926,74,Art Nouveau
Benjamin West,1738,1820,82,Figurative Painting
Berthe Morisot,1841,1895,54,Impressionism
Camille Pissarro,1830,1903,73,Impressionism
Caspar David Friedrich,1774,1840,66,Romanticism
Claude Monet,1840,1926,86,Impressionism
David Wilkie,1785,1841,56,Figurative Painting
Donatello,1386,1466,80,Early Renaissance
Edgar Degas,1834,1917,83,Impressionism
Edouard Manet,1832,1883,51,Impressionism
Edwin Landseer,1802,1873,71,Figurative Painting
Emanuel Gottlieb Leutze,1816,1868,52,Figurative Painting
Emile Bernard,1868,1941,73,Post-Impressionism
Eugene Delacroix,1798,1863,65,Romanticism
Ferdinand Georg Waldmuller,1793,1865,72,Realism
Filippino Lippi,1457,1504,47,High Renaissance
Fra Filippo Lippi,1406,1469,63,Early Renaissance
Francisco Goya,1746,1828,82,Romanticism
Franz Von Lenbach,1836,1904,68,Realism
Frederic Bazille,1841,1870,29,Impressionism
Frederic Edwin Church,1826,1900,74,Landscape Painting
Frederic Leighton,1830,1896,66,Figurative Painting
Frederic Remington,1861,1909,48,Figurative Painting
George Caleb Bingham,1811,1879,68,Landscape Painting
George Frederick Watts,1817,1904,87,Figurative Painting
George Inness,1825,1894,69,Landscape Painting
George Stubbs,1724,1806,82,Figurative Painting
Georges Seurat,1859,1891,32,Neo-Impressionism
Gilbert Stuart,1755,1828,73,Figurative Painting
Giovanni Bellini,1430,1516,86,High Renaissance
Gustav Klimt,1862,1918,56,Art Nouveau
Gustave Courbet,1819,1877,58,Realism
Henri De Toulouse-Lautrec,1864,1901,37,Post-Impressionism
Henri-Edmond Cross,1856,1910,54,Neo-Impressionism
Henry Fuseli,1741,1825,84,Figurative Painting
Henry Raeburn,1756,1823,67,Figurative Painting
Hiroshige,1797,1858,61,Ukiyo-E Artists
Hokusai,1760,1849,89,Ukiyo-E Artists
Ilya Repin,1844,1930,86,Figurative Painting
Isaac Levitan,1860,1900,40,Landscape Painting
Ivan Shishkin,1832,1898,66,Landscape Painting
Jan Davidsz De Heem,1606,1683,77,Realism
Jan Van Eyck,1390,1441,51,High Renaissance
Jan Vermeer,1632,1675,43,Realism
Jean-Leon Gerome,1824,1904,80,Realism
Jmw Turner,1775,1851,76,Landscape Painting
John Constable,1776,1837,61,Landscape Painting
John Crome,1768,1821,53,Landscape Painting
John Martin,1789,1854,65,Landscape Painting
John Sell Cotman,1782,1842,60,Landscape Painting
John Singer Sargent,1856,1925,69,Figurative Painting
John Singleton Copley,1738,1815,77,Figurative Painting
Joseph Wright Of Derby,1734,1797,63,Figurative Painting
Joshua Reynolds,1723,1792,69,Figurative Painting
Jules Cheret,1836,1932,96,Art Nouveau
Konstantin Savitsky,1844,1905,61,Figurative Painting
Lawrence Alma-Tadema,1836,1912,76,Figurative Painting
Leon Battista Alberti,1404,1472,68,Early Renaissance
Leonardo Da Vinci,1452,1519,67,High Renaissance
Mikhail Vrubel,1856,1910,54,Figurative Painting
Paolo Veronese,1528,1588,60,High Renaissance
Paul Cezanne,1839,1906,67,Post-Impressionism
Paul Delaroche,1797,1856,59,Romanticism
Paul Signac,1863,1935,72,Neo-Impressionism
Pierre-Auguste Renoir,1841,1919,78,Impressionism
Raphael,1483,1520,37,High Renaissance
Richard Parkes Bonington,1802,1828,26,Landscape Painting
Richard Wilson,1714,1782,68,Landscape Painting
Roger Van Der Weyden,1400,1464,64,High Renaissance
Samuel Van Hoogstraten,1627,1678,51,Realism
Theodore Gericault,1791,1824,33,Romanticism
Thomas Cole,1801,1848,47,Landscape Painting
Thomas Eakins,1844,1916,72,Figurative Painting
Thomas Gainsborough,1727,1788,61,Figurative Painting
Thomas Girtin,1775,1802,27,Landscape Painting
Thomas Lawrence,1769,1830,61,Figurative Painting
Titian,1485,1576,91,High Renaissance
Valentin Serov,1865,1911,46,Figurative Painting
Vasily Perov,1833,1882,49,Figurative Painting
Vasily Polenov,1844,1927,83,Landscape Painting
Vasily Surikov,1848,1916,68,Figurative Painting
Vilhelm Hammershoi,1864,1916,52,Post-Impressionism
Vincent Van Gogh,1853,1890,37,Post-Impressionism
Walter Sickert,1860,1942,82,Post-Impressionism
Willem Kalf,1619,1693,74,Realism
William Blake,1757,1827,70,Romanticism
William Blake,1757,1827,70,Figurative Painting
William Hogarth,1697,1764,67,Figurative Painting
William Morris,1834,1896,62,Figurative Painting
William Powell Frith,1819,1909,90,Figurative Painting
Winslow Homer,1836,1910,74,Figurative Painting
